representation,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std
Mordred,RF,0.8790755368856825,0.013547479044674045,0.8724280693765583,0.028506540097990345,0.8658682634730539,0.022911528706238343,0.8782271109975397,0.013472690854777213,0.9492359394241344,0.008891612010042377
Mordred,XGBoost,0.8752142215728353,0.017536231186064535,0.8410390367681142,0.01631045647581086,0.8994011976047904,0.028188268972310932,0.8749158216142296,0.017648650535942428,0.944250086953252,0.008776950758976386
Mordred,MLP,0.8144635709176141,0.031243900652901398,0.8202562372152015,0.012810542557306591,0.7652694610778443,0.082051224589033,0.8115042326448905,0.03375005473455471,0.9050664761528747,0.01735917429855806
PaDEL,RF,0.8602986165015295,0.006664663872923008,0.8491389380716049,0.0197126723863247,0.8491017964071856,0.03177604589562061,0.8593465436259835,0.0069722144192372265,0.9347393439181293,0.004755751473042801
PaDEL,XGBoost,0.8591982101273914,0.006192424031764122,0.8020043275103964,0.01487024899950511,0.9233532934131737,0.022532799667337445,0.8591285979431401,0.006190618314553281,0.9376152091421552,0.005625446319763826
PaDEL,MLP,0.831595208742371,0.01559760996777945,0.8172390947631947,0.04279174491972175,0.8263473053892216,0.06753471702932544,0.8300644704781328,0.01642625411573448,0.9183734885018033,0.01341896916143091
RDKit,RF,0.8846034427651706,0.009176454526982762,0.8779461121858338,0.022651166111405045,0.8718562874251496,0.019161676646706594,0.8838181374161621,0.009104116954954736,0.9496204921397393,0.00504735605671216
RDKit,XGBoost,0.8807345174497361,0.012588285298544371,0.8375213500081273,0.023119710743904214,0.9209580838323352,0.007944011473905176,0.8805938772045392,0.012500937177429797,0.9531277163099233,0.007357956825017365
RDKit,MLP,0.8453951874343637,0.021705731182959646,0.8171192654749468,0.02897244579006751,0.8598802395209582,0.06717271215511456,0.8445335946104027,0.022365520578933793,0.9306089077731506,0.016039613966178944
ECFP4,RF,0.8719023484467986,0.013955718477550576,0.8836572915843659,0.023840126064644324,0.8323353293413174,0.01256058500802576,0.8704936569640569,0.01391783039213368,0.9479295412315087,0.007170448236190487
ECFP4,XGBoost,0.8812824376360288,0.010465882924138002,0.825119546548118,0.012523312286672587,0.9425149700598803,0.015888022947810276,0.8812485753536226,0.01046866543122483,0.9557888148350082,0.01313885049980646
ECFP4,MLP,0.8763131059464561,0.022047892713578536,0.8584382329757616,0.03409722462269158,0.8778443113772454,0.012330095977229949,0.8757624754011747,0.021917582496079627,0.9443132886503289,0.011491345569052526
Pretrained GROVER,RF,0.8702372798806751,0.003029471587478207,0.8658913095528155,0.01941054534867665,0.8514970059880239,0.02346816520031788,0.8692286844277625,0.0029484732478164957,0.942379103645143,0.005763311497713397
Pretrained GROVER,XGBoost,0.8796295450740453,0.01825433805969881,0.8507027962123799,0.02599103162422722,0.8970059880239521,0.011611209239320505,0.8793012408151919,0.018200578821350826,0.9494668747277816,0.008610573597865448
Pretrained GROVER,MLP,0.8293883079920248,0.019676080801996232,0.8045932329792995,0.03245253240104934,0.8359281437125748,0.04873530526796601,0.8284795183637952,0.02007214514667218,0.9171451758962451,0.012178475702204228
Finetuned GROVER,RF,0.8956333805153495,0.00543397370321833,0.8832712948599912,0.016917585406409506,0.8922155688622755,0.01417025097748411,0.895055255101094,0.0053116716824459734,0.9606904714903004,0.005596705443181701
Finetuned GROVER,XGBoost,0.8945284081396588,0.008140928235488934,0.8750894124806685,0.01955668063118851,0.9005988023952096,0.013443080431523145,0.8940722471657019,0.008027789794646948,0.9566925489679982,0.0054837651068495065
Finetuned GROVER,MLP,0.8873521756997398,0.012179533337824918,0.8743444284251656,0.010445196082587815,0.8826347305389222,0.025573840124625883,0.8867011455943725,0.012446334766703308,0.9514911151010381,0.01054645075244472
