representation,model,accuracy,precision,recall,macro_f1,roc_auc
Mordred,RF,0.865672,0.942529,0.788462,0.865338,0.948701
Mordred,XGBoost,0.875622,0.907216,0.846154,0.875622,0.961538
Mordred,MLP,0.800995,0.855556,0.740385,0.800753,0.894033
PaDEL,RF,0.845771,0.876289,0.817308,0.845771,0.942952
PaDEL,XGBoost,0.845771,0.861386,0.836538,0.845710,0.903549
PaDEL,MLP,0.810945,0.892857,0.721154,0.810151,0.927934
RDKit,RF,0.870647,0.882353,0.865385,0.870567,0.952964
RDKit,XGBoost,0.890547,0.936170,0.846154,0.890523,0.959903
RDKit,MLP,0.875622,0.876190,0.884615,0.875425,0.942605
ECFP4,RF,0.905473,0.947368,0.865385,0.905463,0.965504
ECFP4,XGBoost,0.895522,0.919192,0.875000,0.895512,0.959952
ECFP4,MLP,0.895522,0.910891,0.884615,0.895481,0.951923
Pretrained GROVER,RF,0.860697,0.887755,0.836538,0.860693,0.946521
Pretrained GROVER,XGBoost,0.855721,0.857143,0.865385,0.855492,0.933882
Pretrained GROVER,MLP,0.825871,0.828571,0.836538,0.825594,0.923473
Finetuned GROVER,RF,0.925373,0.932039,0.923077,0.925307,0.961638
Finetuned GROVER,XGBoost,0.935323,0.941748,0.932692,0.935266,0.961836
Finetuned GROVER,MLP,0.915423,0.939394,0.894231,0.915415,0.963918
