Code,SMILES,RF-GROVER Prob.,RF-GROVER Labels,XGBoost-GROVER Prob.,XGBoost-GROVER Labels,MLP-GROVER Prob.,MLP-GROVER Labels
Ia,O=C(CCC1=CC=C(CN2C=NC3=CC(NC(C4=C(C=CC=C4)Cl)=O)=CC=C32)C=C1)NO,0.545000,1,0.908240,1,0.026897,0
Ib,O=C(CCC1=CC=C(CN2C=NC3=CC(NC(C4=CC(Cl)=CC=C4)=O)=CC=C32)C=C1)NO,0.525000,1,0.780244,1,0.011746,0
Ic,O=C(CCC1=CC=C(CN2C=NC3=CC(NC(C4=CC=C(C=C4)F)=O)=CC=C32)C=C1)NO,0.420000,0,0.411673,0,0.000326,0
Id,O=C(CCC1=CC=C(CN2C3=CC(NC(C4=C(C=CC=C4)Cl)=O)=CC=C3N=C2)C=C1)NO,0.540000,1,0.851465,1,0.022320,0
Ie,O=C(CCC1=CC=C(CN2C3=CC(NC(C4=CC(Cl)=CC=C4)=O)=CC=C3N=C2)C=C1)NO,0.530000,1,0.780244,1,0.012202,0
If,O=C(CCC1=CC=C(CN2C3=CC(NC(C4=CC=C(C=C4)F)=O)=CC=C3N=C2)C=C1)NO,0.420000,0,0.340953,0,0.000318,0
IIa,O=C(CCC1=CC=C(CN2C=NC3=CC(CC(C4=C(C=CC=C4)Cl)=O)=CC=C32)C=C1)NO,0.370000,0,0.425644,0,0.000234,0
IIb,O=C(CCC1=CC=C(CN2C=NC3=CC(CC(C4=CC(Cl)=CC=C4)=O)=CC=C32)C=C1)NO,0.435000,0,0.915002,1,0.007592,0
IIc,O=C(CCC1=CC=C(CN2C=NC3=CC(CC(C4=CC=C(C=C4)F)=O)=CC=C32)C=C1)NO,0.205000,0,0.004779,0,0.000007,0
IId,O=C(CCC1=CC=C(CN2C3=CC(CC(C4=C(C=CC=C4)Cl)=O)=CC=C3N=C2)C=C1)NO,0.365000,0,0.425644,0,0.000248,0
IIe,O=C(CCC1=CC=C(CN2C3=CC(CC(C4=CC(Cl)=CC=C4)=O)=CC=C3N=C2)C=C1)NO,0.425000,0,0.895102,1,0.007684,0
IIf,O=C(CCC1=CC=C(CN2C3=CC(CC(C4=CC=C(C=C4)F)=O)=CC=C3N=C2)C=C1)NO,0.210000,0,0.007491,0,0.000008,0
IIIa,O=C(CCC1=CC=C(CN2C=NC3=CC(CCC4=C(C=CC=C4)Cl)=CC=C32)C=C1)NO,0.405000,0,0.082077,0,0.000065,0
